schema_version,forecast_key,rfc,nws_lid,product_type,display_name,expected_source_name,source_url,retrieval_url_template,summary_url,archive_url,forecast_period,source_normal_term,expected_forecast_type,expected_units,enabled,display_order
1.1.0,CBRFC:GLDA3:APR_JUL_WSUP,CBRFC,GLDA3,april_july_water_supply_forecast,Colorado River inflow to Lake Powell / Glen Canyon Dam,"Colorado - Lake Powell, Glen Cyn Dam, At",https://www.cbrfc.noaa.gov/wsup/graph/espgraph_hc.html?id=GLDA3&year={WY},https://www.cbrfc.noaa.gov/dbdata/station/espgraph/espgraph_data_hc.py?id=GLDA3&year={WY},https://www.cbrfc.noaa.gov/dash/lp.php,https://www.cbrfc.noaa.gov/product/hydrofcst/hydrofcst_archive.php?pdes=Upper+Basin+Reservoirs+%283+month+++Apr-Jul%29&pdir=espstr&pname=slcespstr,Apr 1-Jul 31,average,Unregulated,kaf,TRUE,10
1.1.0,CBRFC:GLDA3:WATER_YEAR_INFLOW,CBRFC,GLDA3,water_year_unregulated_inflow_forecast,Colorado River water-year unregulated inflow to Lake Powell / Glen Canyon Dam,Lake Powell Unregulated Inflow,https://www.cbrfc.noaa.gov/dash/lp.php,https://www.cbrfc.noaa.gov/dash/lp.php,https://www.cbrfc.noaa.gov/dash/lp.php,https://www.cbrfc.noaa.gov/product/hydrofcst/hydrofcst_archive.php?pdes=Upper+Basin+Reservoirs+%28Water+Year%29&pdir=espstr&pname=espstr.wy.csv,Water Year,average,Unregulated,kaf,TRUE,20
1.1.0,CBRFC:LKSA3:LOCAL_INTERVENING_MONTHLY,CBRFC,LKSA3,lake_mead_local_intervening_monthly_forecast,Lake Mead local intervening monthly inflow,Lake Mead Local Intervening Flow,https://www.cbrfc.noaa.gov/product/hydrofcst/espaz_lml/lakemead.txt,https://www.cbrfc.noaa.gov/product/hydrofcst/espaz_lml/lakemead.txt,https://www.cbrfc.noaa.gov/product/hydrofcst/hydrofcst.php,https://www.cbrfc.noaa.gov/product/hydrofcst/hydrofcst_archive.php?pdes=Lake+Mead+Local&pdir=espaz_lml&pname=lakemead.txt,MONTHLY OUTLOOKS,median,ESP 50% EXCEEDANCE,KAF,TRUE,30
