river_km,lon,lat,label,source_file,source_km_field
62,-122.05891104037754,38.06210193467693,X2 62 km,01_raw_data/misc_reference/x2_km.shp,RKI
63,-122.04776764682232,38.063981483491204,X2 63 km,01_raw_data/misc_reference/x2_km.shp,RKI
64,-122.03638888412432,38.064673795320324,X2 64 km,01_raw_data/misc_reference/x2_km.shp,RKI
65,-122.02503481646663,38.06386301596694,X2 65 km,01_raw_data/misc_reference/x2_km.shp,RKI
66,-122.01368289533146,38.06293761571195,X2 66 km,01_raw_data/misc_reference/x2_km.shp,RKI
67,-122.00254052650081,38.06118968379159,X2 67 km,01_raw_data/misc_reference/x2_km.shp,RKI
68,-121.9915861441629,38.058695528460575,X2 68 km,01_raw_data/misc_reference/x2_km.shp,RKI
69,-121.98028201172761,38.05747804771928,X2 69 km,01_raw_data/misc_reference/x2_km.shp,RKI
70,-121.96887046640187,38.0574956930276,X2 70 km,01_raw_data/misc_reference/x2_km.shp,RKI
71,-121.95756446527622,38.05691332049322,X2 71 km,01_raw_data/misc_reference/x2_km.shp,RKI
72,-121.94659101170556,38.05444543229547,X2 72 km,01_raw_data/misc_reference/x2_km.shp,RKI
73,-121.93586662554968,38.05144705595034,X2 73 km,01_raw_data/misc_reference/x2_km.shp,RKI
74,-121.92528496310312,38.04821169650728,X2 74 km,01_raw_data/misc_reference/x2_km.shp,RKI
75,-121.91408786591545,38.04648198391978,X2 75 km,01_raw_data/misc_reference/x2_km.shp,RKI
76,-121.90289336321659,38.04488878075064,X2 76 km,01_raw_data/misc_reference/x2_km.shp,RKI
77,-121.89175215927261,38.046829113731015,X2 77 km,01_raw_data/misc_reference/x2_km.shp,RKI
78,-121.88130344155705,38.050263577627554,X2 78 km,01_raw_data/misc_reference/x2_km.shp,RKI
79,-121.87120030814927,38.05444493965664,X2 79 km,01_raw_data/misc_reference/x2_km.shp,RKI
80,-121.86270270257889,38.06042254197355,X2 80 km,01_raw_data/misc_reference/x2_km.shp,RKI
81,-121.85346430518993,38.06543209442748,X2 81 km,01_raw_data/misc_reference/x2_km.shp,RKI
82,-121.84235625945121,38.06724519463726,X2 82 km,01_raw_data/misc_reference/x2_km.shp,RKI
83,-121.8312556735349,38.066801537452584,X2 83 km,01_raw_data/misc_reference/x2_km.shp,RKI
84,-121.82053650905637,38.063713388334946,X2 84 km,01_raw_data/misc_reference/x2_km.shp,RKI
85,-121.809818230581,38.06062428458093,X2 85 km,01_raw_data/misc_reference/x2_km.shp,RKI
86,-121.79904310937005,38.06041765771843,X2 86 km,01_raw_data/misc_reference/x2_km.shp,RKI
87,-121.78822046669957,38.063261475686545,X2 87 km,01_raw_data/misc_reference/x2_km.shp,RKI
88,-121.77871589883301,38.068241224930446,X2 88 km,01_raw_data/misc_reference/x2_km.shp,RKI
89,-121.76921006418381,38.07322022457814,X2 89 km,01_raw_data/misc_reference/x2_km.shp,RKI
90,-121.75968959056758,38.07818256007393,X2 90 km,01_raw_data/misc_reference/x2_km.shp,RKI
91,-121.75016207196887,38.08313726325829,X2 91 km,01_raw_data/misc_reference/x2_km.shp,RKI
92,-121.74129832509885,38.088776517518184,X2 92 km,01_raw_data/misc_reference/x2_km.shp,RKI
93,-121.73273333433013,38.0947243926868,X2 93 km,01_raw_data/misc_reference/x2_km.shp,RKI
94,-121.72416697955013,38.10067166054364,X2 94 km,01_raw_data/misc_reference/x2_km.shp,RKI
95,-121.71571699967718,38.10672021243871,X2 95 km,01_raw_data/misc_reference/x2_km.shp,RKI
96,-121.70739818339644,38.11288287788427,X2 96 km,01_raw_data/misc_reference/x2_km.shp,RKI
97,-121.70091062944945,38.120085676295375,X2 97 km,01_raw_data/misc_reference/x2_km.shp,RKI
98,-121.6961165080829,38.128250491322305,X2 98 km,01_raw_data/misc_reference/x2_km.shp,RKI
99,-121.69151530247751,38.13647316924456,X2 99 km,01_raw_data/misc_reference/x2_km.shp,RKI
100,-121.68821376724128,38.145084942400246,X2 100 km,01_raw_data/misc_reference/x2_km.shp,RKI
101,-121.68491147018716,38.153696631231924,X2 101 km,01_raw_data/misc_reference/x2_km.shp,RKI
102,-121.68093015516041,38.162016477931154,X2 102 km,01_raw_data/misc_reference/x2_km.shp,RKI
103,-121.67350690929365,38.16885592531032,X2 103 km,01_raw_data/misc_reference/x2_km.shp,RKI
104,-121.66604279310023,38.175638375753756,X2 104 km,01_raw_data/misc_reference/x2_km.shp,RKI
105,-121.65505808907045,38.174748245182045,X2 105 km,01_raw_data/misc_reference/x2_km.shp,RKI
106,-121.64396903482418,38.172693254002866,X2 106 km,01_raw_data/misc_reference/x2_km.shp,RKI
107,-121.63324296383027,38.17076083317788,X2 107 km,01_raw_data/misc_reference/x2_km.shp,RKI
108,-121.62393778305211,38.1657280202025,X2 108 km,01_raw_data/misc_reference/x2_km.shp,RKI
109,-121.61302936309707,38.16350413733382,X2 109 km,01_raw_data/misc_reference/x2_km.shp,RKI
110,-121.60219253250402,38.165627494786186,X2 110 km,01_raw_data/misc_reference/x2_km.shp,RKI
111,-121.59399163095617,38.17163899683093,X2 111 km,01_raw_data/misc_reference/x2_km.shp,RKI
112,-121.58851922876299,38.17953238633471,X2 112 km,01_raw_data/misc_reference/x2_km.shp,RKI
113,-121.58172214039962,38.18672592689677,X2 113 km,01_raw_data/misc_reference/x2_km.shp,RKI
114,-121.57185964829988,38.191080871213416,X2 114 km,01_raw_data/misc_reference/x2_km.shp,RKI
115,-121.56176732352885,38.19519401859226,X2 115 km,01_raw_data/misc_reference/x2_km.shp,RKI
